symbol,timeframe,filter_tf,side,entry_time,entry_price,tp,sl,exit_time,exit_price,outcome,pnl_pct
DOTUSDT,15M,4H,SHORT,2025-12-19 17:00:00,1.823,1.767,1.871,2025-12-19 19:00:00,1.871,SL,-2.633022490400441
DOTUSDT,15M,4H,SHORT,2025-12-21 10:00:00,1.827,1.797,1.848,2025-12-21 13:00:00,1.797,TP,1.642036124794747
ETHUSDT,4H,1D,SHORT,2025-12-15 04:00:00,3128.29,3025.79,3415.84,2025-12-15 12:00:00,3025.79,TP,3.276550447688673
XRPUSDT,4H,1D,SHORT,2025-11-18 16:00:00,2.2271,1.93,2.3355,2025-11-21 04:00:00,1.93,TP,13.340218221004902
XRPUSDT,4H,1D,SHORT,2025-12-10 00:00:00,2.083,1.88,2.3,2025-12-15 16:00:00,1.88,TP,9.745559289486332
XRPUSDT,4H,1D,SHORT,2025-12-18 16:00:00,1.908,1.826,2.0411,2025-12-19 04:00:00,1.826,TP,4.297693920335422
XRPUSDT,4H,1D,SHORT,2025-12-21 16:00:00,1.9171,1.8258,1.9572,2025-12-22 00:00:00,1.9321,OPEN,0.0
ADAUSDT,4H,1D,SHORT,2025-12-22 00:00:00,0.3709,0.3576,0.38,2025-12-22 00:00:00,0.3709,OPEN,0.0
DOGEUSDT,4H,1D,SHORT,2025-11-11 08:00:00,0.17753,0.17129,0.18798,2025-11-12 00:00:00,0.17129,TP,3.5148988903283924
SOLUSDT,4H,1D,SHORT,2025-11-11 04:00:00,163.88,145.0,184.59,2025-11-12 04:00:00,145.0,TP,11.520624847449351
SOLUSDT,4H,1D,SHORT,2025-12-10 20:00:00,136.19,127.78,144.65,2025-12-11 16:00:00,127.78,TP,6.175196416770685
SOLUSDT,4H,1D,SHORT,2025-12-15 04:00:00,132.28,123.81,139.87,2025-12-15 16:00:00,123.81,TP,6.403084366495312
DOTUSDT,4H,1D,SHORT,2025-11-18 16:00:00,2.779,2.622,2.923,2025-11-19 16:00:00,2.622,TP,5.649514213745952
DOTUSDT,4H,1D,SHORT,2025-11-24 16:00:00,2.358,2.242,2.437,2025-11-25 12:00:00,2.242,TP,4.9194232400339315
DOTUSDT,4H,1D,SHORT,2025-12-04 20:00:00,2.271,1.962,2.394,2025-12-12 12:00:00,1.962,TP,13.606340819022456
DOTUSDT,4H,1D,SHORT,2025-12-10 20:00:00,2.19,2.041,2.384,2025-12-11 08:00:00,2.041,TP,6.8036529680365305
